objID,l,b,ra,dec,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z
1237666435264087317,88.5682265484295,-29.9999270434348,340.483268888195,24.0944280634002,23.42273,22.86201,22.44999,23.91742,21.54777,0.4914841,0.2027463,0.2296365,0.2576475,0.3392839,0.223388,0.1204156,0.08948166,0.1740624,0.06655791
1237680092719482477,71.8882320040753,-29.9999235316161,328.690834401636,14.8684869298908,24.83425,22.79059,22.67919,24.5754,22.86036,0.9308051,0.1885725,0.2644005,0.4480568,0.5790663,0.4004181,0.2158423,0.160394,0.3120031,0.1193036
1237680302642757709,92.7462531993237,-29.9999207782771,343.883765635103,25.9920585655575,17.68617,15.93215,15.7704,16.39453,15.68415,0.02403785,0.01244068,0.01858393,0.01862416,0.01939183,0.543923,0.2931975,0.2178772,0.4238212,0.1620606
1237680267202724217,73.5208825012434,-29.9999142143944,329.724339196232,15.8715147497718,21.89071,17.68737,16.97614,19.09991,16.59307,0.1647924,0.01420777,0.01310642,0.01657681,0.01891546,0.2562307,0.1381191,0.1026373,0.1996532,0.07634332
1237656496172959367,67.7458319667599,-29.9999135244289,326.177286319522,12.2419625868607,25.33388,22.23012,21.17058,25.60199,20.28002,0.6649724,0.1174434,0.07515313,0.5198156,0.1246609,0.3668981,0.1977736,0.1469669,0.2858845,0.1093164
1237652942623539343,66.0818571638346,-29.9999128381116,325.209999293112,11.1559478991314,25.55762,21.16807,20.09199,22.80234,19.49186,0.7985368,0.08068942,0.04816096,0.2319305,0.07377882,0.3702932,0.1996037,0.1483269,0.28853,0.110328
1237656241694180640,66.5721523586153,-29.9999095882511,325.492552210342,11.4777087845501,24.91554,21.11454,20.087,22.61779,19.58524,0.5999114,0.03573637,0.0258782,0.09354753,0.059746,0.3470921,0.1870973,0.1390334,0.2704518,0.1034153
1237672764976203029,94.3736553824529,-29.999908303799,345.257212707214,26.6785130565613,25.62554,21.18793,19.75469,22.52534,18.86647,0.5417312,0.04643979,0.02401151,0.0846369,0.03656961,0.1808057,0.09746192,0.07242465,0.1408826,0.05387063
1237656242768315023,67.8553710593101,-29.9999078555673,326.241793640842,12.3128573756755,25.42478,23.0671,22.0253,24.36537,21.92362,0.6749869,1.000414,0.1110944,0.3422275,0.3149675,0.3362786,0.1812684,0.1347018,0.262026,0.1001934
1237680297807053517,78.9485820759658,-29.9999077268266,333.342828723814,19.0623311871035,24.4107,20.28997,19.83352,21.45393,19.40284,1.207324,0.03418161,0.0373527,0.0473982,0.08026928,0.2175281,0.1172568,0.0871344,0.1694964,0.06481198
1237672816510764111,94.0934067950681,-29.9998999192464,345.018757131051,26.5624974376937,22.96628,21.98083,21.6533,23.41614,21.42171,0.5081476,0.1096584,0.1215875,0.2581882,0.4193898,0.1546786,0.08337833,0.06195903,0.1205246,0.04608614
1237680246265151614,74.5122855054747,-29.9998973858428,330.364091869852,16.4712009440537,23.13733,24.57455,24.64316,22.96596,24.01821,1.515332,0.6710156,0.9957349,0.2458679,0.8684574,0.2378515,0.128212,0.09527525,0.1853322,0.07086729
1237656242231247788,67.2155725190403,-29.9998957306431,325.866450361578,11.8977434647869,22.32529,22.30639,22.17213,22.78732,22.31536,0.1738402,0.09203852,0.1122022,0.1047534,0.4447964,0.3279366,0.1767717,0.1313603,0.2555259,0.09770793
1237678877784670289,65.1323313438361,-29.9998951743692,324.668539671776,10.5287366321617,18.67315,16.2879,16.03015,17.04821,15.88225,0.02342566,0.01102652,0.0146994,0.01579629,0.01869195,0.2760073,0.1487796,0.1105592,0.2150631,0.08223574
1237652943697675323,67.4964757752055,-29.9998940799278,326.030803852843,12.0803179688165,22.52791,21.41441,21.28015,21.85986,21.09547,0.2773421,0.06270742,0.07955766,0.06393307,0.2939641,0.5198973,0.2802466,0.2082533,0.4051005,0.1549022
1237680298344317834,80.2035586390944,-29.9998931567963,334.220675939217,19.7664290604641,23.71545,20.78126,19.60283,22.28929,19.01632,3.221128,0.04777317,0.02536341,0.09024456,0.05731044,0.2298454,0.1238964,0.09206831,0.179094,0.06848191
1237680272573727481,80.400776380475,-29.9998928335865,334.360067896313,19.87585963009,26.22369,20.30184,19.02749,21.76361,18.30947,0.8180249,0.03668866,0.02198196,0.07808515,0.03741744,0.2072733,0.111729,0.08302666,0.1615059,0.06175658
1237680270962197710,77.7410824328059,-29.9998781664048,332.512975281271,18.3725474075164,22.59978,21.82363,21.36023,22.9323,20.43393,0.5161536,0.1131862,0.1206312,0.216598,0.1927211,0.2626137,0.1415599,0.1051942,0.2046268,0.07824513
